Team                | Played    | Won       | Drawn     | Lost      | GF        | GA        | GD        | Points    
RSC Anderlecht      | 15        | 15        | 0         | 0         | 39        | 17        | 22        | 45        
Club Brugge         | 15        | 4         | 3         | 8         | 21        | 31        | -10       | 15        
Real Madrid         | 15        | 10        | 3         | 2         | 30        | 16        | 14        | 33        
FC Barcelona        | 15        | 9         | 2         | 4         | 32        | 23        | 9         | 29        
Atletico Madrid     | 15        | 3         | 3         | 9         | 14        | 22        | -8        | 12        
Arsenal             | 15        | 5         | 2         | 8         | 15        | 22        | -7        | 17        
Liverpool           | 15        | 8         | 3         | 4         | 27        | 20        | 7         | 27        
Man City            | 15        | 5         | 4         | 6         | 22        | 23        | -1        | 19        
Man United          | 15        | 9         | 3         | 3         | 23        | 11        | 12        | 30        
Chelsea FC          | 15        | 3         | 4         | 8         | 16        | 23        | -7        | 13        
PSV                 | 15        | 1         | 0         | 14        | 12        | 32        | -20       | 3         
Ajax                | 15        | 8         | 3         | 4         | 31        | 22        | 9         | 27        
PSG                 | 15        | 6         | 4         | 5         | 28        | 27        | 1         | 22        
Marseille           | 15        | 1         | 7         | 7         | 17        | 30        | -13       | 10        
FC Bayern Munchen   | 15        | 7         | 5         | 3         | 26        | 20        | 6         | 26        
Dortmund            | 15        | 0         | 6         | 9         | 12        | 26        | -14       | 6         
